employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
0,stephen,BURKE,johnarroyo@example.net,2027-05-02,Physiotherapist,IT,49391,28,"8181 Friedman Park Apt. 710
Lake Phillip, WY 31335",South Heidi,OR,34959,1987-01-17,Active
1,chelsey,THOMPSON,marcus27@example.com,2027-05-17,"Scientist, forensic",IT,68529,32,"1340 Steven Plaza Apt. 694
East Denise, UT 83304",Averyland,NC,39725,1996-12-28,Active
2,amber,YOUNG,jeffreypeterson@example.org,2024-05-11,Educational psychologist,HR,"$30,328",42,"13117 Bethany Loop
Lewisview, WV 73309",South Traceyshire,NH,66013,1970-09-24,Active
3,christopher,ROWE,james27@example.net,2026-08-17,Jewellery designer,Finance,74994,8,"4627 Rodriguez Trafficway Suite 597
Austinmouth, VA 42868",South Janicebury,DE,35525,1966-01-15,Active
4,anthony,SMITH,douglas10@example.net,2022-05-15,"Designer, exhibition/display",HR,$54955,5,"224 Emily Keys Suite 513
East Taylorton, KS 09174",West Corey,TN,21983,1999-11-04,Active
5,michael,SMITH,earlallen@example.net,2024-02-26,Paediatric nurse,IT,98288,25,"4313 Lisa Dale Apt. 195
Henryton, GA 73294",South Paulville,CT,02844,1999-01-02,Active
6,logan,RODRIGUEZ,invalid_email,2027-08-31,"Lighting technician, broadcasting/film/video",Finance,"$94,861",12,"217 Olivia Loaf Suite 087
Morrisville, UT 22317",Ericamouth,AL,22903,1980-12-12,Active
7,donna,LAWSON,justin58@example.com,2023-09-02,"Administrator, Civil Service",HR,$56300,41,"5945 Hector Ferry Suite 452
Port Annaburgh, NE 90001",Port Aaron,ND,62901,1998-08-19,Active
8,samuel,FOX,invalid_email,2024-01-24,Estate agent,Finance,"$95,121",37,"2025 Jones Center
Parksside, UT 79401",Carolville,FM,11304,1973-12-18,Active
9,james,COHEN,stephencole@example.com,2022-09-13,"Education officer, community",IT,$40920,21,"59756 Derrick Walks Apt. 327
New Sarah, CO 65445",Lake Mariehaven,OH,70290,1970-10-20,Active
10,allison,MCPHERSON,amber42@example.org,2024-06-11,Engineering geologist,Finance,"$73,273",18,"8824 Rachel Streets
North Jenniferburgh, SC 95101",Lake Levifort,AZ,34878,1989-03-16,Active
11,heather,JOHNSON,joshua14@example.com,2027-05-20,"Pharmacist, community",HR,79596,34,"65500 Sandra Forest
New Tina, OR 32697",New Derek,IN,83817,1981-10-11,Active
12,jason,MACDONALD,kyle96@example.org,2025-03-30,Actor,IT,"$57,486",11,"0403 Michael Walks Suite 223
New Sarahborough, NC 35639",Rachaelhaven,PA,16491,1987-02-12,Active
13,elizabeth,MORRIS,andre05@example.com,2021-09-11,"Conservation officer, nature",Finance,"$49,366",34,"5175 Michael Pike
Joshuachester, WA 13288",Jeffreystad,DE,41677,1994-01-25,Active
14,cheryl,ROGERS,dixonnicole@example.com,2028-01-07,Occupational hygienist,HR,31953,40,"49736 Randall Bridge Apt. 964
Fostertown, KY 69526",Matthewfurt,SD,24314,1980-06-24,Active
15,michael,JACOBS,johnsonjillian@example.org,2026-07-19,Ecologist,Finance,$38449,20,"43574 Meyers Junctions Apt. 968
East Jonfurt, MH 95188",East Thomas,FM,76541,1974-06-25,Active
16,holly,MOORE,rachel99@example.com,2025-04-19,"Designer, jewellery",HR,"$73,870",25,"847 Mcdonald Unions Suite 235
East Justinmouth, DC 53270",Michaelmouth,VA,02538,2005-01-19,Active
17,ronnie,ROSS,hprice@example.com,2024-08-28,Building services engineer,Finance,$58267,35,"5622 Beth Crossing Suite 526
New Madeline, FM 46344",South Joshua,TN,50809,1968-12-04,Active
18,jessica,BAKER,zpatterson@example.net,2025-09-11,Illustrator,Finance,"$79,371",22,"41048 Donna Stravenue Apt. 207
Johnsonborough, WV 32135",Lake Patrick,NM,11455,2005-02-25,Active
